,START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE,hour,day_of_week,is_weekend,is_rush_hour,TEMPERATURE,IS_DAY,RAIN,SNOWFALL,SHOWERS,WEATHER_CODE,WIND_SPEED_10M,WIND_GUSTS_10M,TEMP_WIND,WEATHER_STRESS
87,2016-01-26 17:17:00,2016-01-26 17:22:00,Business,Cary,Cary,1.4,Errand/Supplies,17,1,False,True,51.2,1.0,0.0,0.0,0.0,3.0,10.2,27.4,522.24,91.80000000000001
88,2016-01-26 17:27:00,2016-01-26 17:29:00,Business,Cary,Cary,0.5,Errand/Supplies,17,1,False,True,51.2,1.0,0.0,0.0,0.0,3.0,10.2,27.4,522.24,91.80000000000001
89,2016-01-27 09:24:00,2016-01-27 09:31:00,Business,Cary,Cary,1.8,Meeting,9,2,False,True,34.5,1.0,0.1,0.0,0.0,51.0,15.5,35.3,534.75,136.39999999999998
90,2016-01-29 09:31:00,2016-01-29 09:45:00,Business,Cary,Cary,4.6,Customer Visit,9,4,False,True,32.8,1.0,0.0,0.0,0.0,0.0,12.4,25.2,406.71999999999997,70.39999999999999
91,2016-01-29 10:56:00,2016-01-29 11:07:00,Business,Cary,Cary,5.2,Meeting,10,4,False,False,36.2,1.0,0.0,0.0,0.0,0.0,14.4,30.6,521.2800000000001,81.2
92,2016-02-02 13:51:00,2016-02-02 14:06:00,Business,Cary,Cary,6.0,Errand/Supplies,13,1,False,False,54.3,1.0,0.0,0.0,0.0,3.0,10.0,28.1,543.0,95.4
93,2016-02-02 14:38:00,2016-02-02 14:42:00,Business,Cary,Cary,1.6,Errand/Supplies,14,1,False,False,52.0,1.0,0.0,0.0,0.0,3.0,9.8,24.5,509.6,89.3
94,2016-02-04 10:26:00,2016-02-04 10:32:00,Business,Cary,Cary,1.6,Meal/Entertain,10,3,False,False,46.3,1.0,1.2,0.0,0.0,55.0,12.7,41.8,588.0099999999999,157.0
95,2016-02-04 15:59:00,2016-02-04 16:03:00,Business,Cary,Cary,1.1,Meal/Entertain,15,3,False,False,50.1,1.0,0.5,0.0,0.0,53.0,7.9,30.2,395.79,141.7
96,2016-02-04 16:35:00,2016-02-04 16:39:00,Business,Cary,Cary,1.6,Meal/Entertain,16,3,False,True,49.6,1.0,0.5,0.0,0.0,53.0,8.7,25.6,431.52,137.4
